,ClusterID
MMM,2
ABT,2
ABBV,2
ABMD,2
ACN,2
ATVI,2
ADBE,2
AMD,2
AAP,3
AES,3
AMG,2
AFL,3
A,2
APD,2
AKAM,3
ALK,2
ALB,2
ARE,2
ALXN,2
ALGN,2
ALLE,2
AGN,3
ADS,3
LNT,3
ALL,3
GOOG,2
MO,2
AMZN,2
AMCR,3
AEE,3
AAL,0
AEP,3
AXP,3
AIG,2
AMT,2
AWK,2
AMP,3
ABC,2
AME,2
AMGN,2
APH,3
ADI,3
ANSS,2
ANTM,2
AON,2
AOS,2
APA,3
AIV,3
AAPL,3
AMAT,3
APTV,3
ADM,3
ARNC,2
ANET,2
AJG,2
AIZ,3
ATO,2
T,3
ADSK,2
ADP,2
AZO,2
AVB,3
AVY,3
BKR,3
BLL,3
BAC,3
BK,3
BAX,2
BBT,3
BDX,3
BRK.B,3
BBY,2
BIIB,2
BLK,3
HRB,2
BA,4
BKNG,2
BWA,2
BXP,3
BSX,2
BMY,2
AVGO,2
BR,3
CHRW,2
COG,2
CDNS,2
CPB,3
COF,3
CPRI,2
CAH,2
KMX,3
CCL,3
CAT,2
CBOE,2
CBRE,2
CBS,3
CDW,3
CE,3
CELG,2
CNC,2
CNP,2
CTL,3
CERN,6
CF,3
SCHW,3
CHTR,3
CVX,2
CMG,2
CB,3
CHD,2
CI,3
XEC,2
CINF,3
CTAS,2
CSCO,3
C,3
CFG,1
CTXS,6
CLX,2
CME,2
CMS,3
KO,2
CTSH,2
CL,3
CMCSA,3
CMA,3
CAG,2
CXO,2
COP,2
ED,3
STZ,2
COO,3
CPRT,2
GLW,3
COST,2
COTY,3
CCI,2
CSX,2
CMI,2
CVS,3
DHI,3
DHR,2
DRI,2
DVA,2
DE,2
DAL,2
XRAY,3
DVN,2
FANG,2
DLR,3
DFS,3
DISCK,3
DISH,2
DG,2
DLTR,3
D,3
DOV,2
DOW,3
DTE,3
DUK,3
DRE,3
DD,3
DXC,3
ETFC,3
EMN,3
ETN,2
EBAY,2
ECL,3
EIX,3
EW,2
EA,2
EMR,2
ETR,3
EOG,2
EFX,2
EQIX,3
EQR,3
ESS,3
EL,2
EVRG,3
ES,3
