,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
MMM,0.07705596476747589,0.6938559514870456,0.09549314063220606,8.276592016500686,12.841571416270797,4.279880743397861,1.8894482667642127,12.483635010916139,0.0843505330792757,0.2268069646149562,0.005842509847758404,1.0578628050438783,3.827801354757724,0.8625191795413819,3.86314102658025,0.630056000538355,2.447138741568337,0.14365704620472866
ABT,0.04158120485608921,0.24412728369548406,0.04221400251461618,5.40202757637917,5.5066530676652405,2.0117487456570244,0.30991825963990927,3.0089291963720974,0.09329938554375795,0.1441806293955216,0.01864836421214276,0.4650481850939785,1.4616707361048076,0.4002838947772241,3.433814567644081,0.5020963931532195,2.1564854032475553,0.04887367049922942
ABBV,0.021297468992565575,0.24879299709671687,0.04422734960895181,8.56671956484686,12.346595956659527,24.604717676560245,-2.706458679838533,7.264414774098349,0.09954385140320815,0.03742546148390781,0.04602916211773239,0.3526808256796042,1.4489160940387513,0.24229006685099214,8.006340042375076,-3.7625301548160954,7.011667956156545,0.11883191924151294
ABMD,0.10239570689398118,0.9563948564791408,0.09000898524285056,15.145633804577704,23.93709482862227,4.051500675412838,1.111444861095135,22.043988421992722,0.15227489643856545,0.37085502309964347,0.026466841523674445,2.4850583435615174,3.912464610553316,1.5747621944160617,0.0,0.0,0.0,0.07658502530651379
ACN,0.03146881173629388,0.1344051550256485,0.001975750049855088,2.9395056466120466,3.242100159382651,7.551083567218595,20.967500587348894,7.545611290978349,0.11437930244750294,0.19800351031410127,0.0,0.43353157513794166,0.9201196271233264,0.2973918798000572,0.01120636813637976,0.012755426867875735,0.0067418425951711915,0.21779099823437922
ATVI,0.21682042038033064,0.5466788508628919,0.09571544898419117,9.163307728873097,14.237997775431893,3.8117896628053263,4.602454686939914,5.870430774213619,0.13526358109810527,0.23831770820402565,0.1490862101043749,0.7640073116278103,4.350214097874996,0.6662197772003975,1.868594499290823,0.1882580470596383,1.0703351940911106,0.07080424639174673
ADBE,0.048139662109571185,0.5982811585940503,0.09110553583195541,6.533672118683576,8.411147788957114,14.505860740750682,17.490827291285616,3.68647675935244,0.14708327372493052,0.4410390317254325,0.0,0.3562038088576671,0.6345010214583336,0.24034032376110573,3.0789496454703387,3.51252567374128,1.3132993563177844,0.17224477811351374
AMD,0.8594213308459823,0.12569272949145996,0.07496417258292706,1.4190236040123825,1.5258224338848614,1.6163282034075357,16.82709875294626,4.2371150601164755,0.15820262395925594,0.04144028707654913,0.04478042108974748,0.40628304845309776,0.9026377614481313,0.3797760297518269,3.8437842707782575,7.871692805837814,2.1334025030113373,0.0007255855316459988
AAP,0.08699241898266154,0.4209906209233279,0.10062305425880297,5.570150771198961,7.510039877174882,7.573780651777794,6.1177507170015,5.150208294317181,0.002307946553171796,0.03350291616398573,0.002808132499626518,0.43025550279478036,1.3782466940534983,0.5203497509841625,0.8346754908050722,0.3117756080336308,0.6155988456248556,0.054898689952575866
AES,0.047680935821250124,0.15217542526107078,0.05965510160624042,5.947487418798608,8.022439043020714,34.674939142307394,43.78026858319171,54.3772572723717,0.1053502117608367,0.37373788843342765,0.037936863264724244,3.6966436879410414,27.402338163851038,2.259637072998979,3.762686283289283,3.4538502082274807,2.328780901477851,0.06015675224237194
AMG,0.012475930399918114,0.24477973462789132,0.06931151207148192,2.6533429390964307,2.2238561448505147,5.4924911659528455,2.5360630003521982,71.50989201454153,0.005454579069587387,0.03521132310163609,0.0,1.8703169438738327,8.298273108099908,1.321150624637322,10.37706460437486,0.6837043997696999,2.411793820587487,0.19172660828288632
AFL,0.01598986306111555,0.18082551321670215,0.051720102187863895,2.4127045739807964,2.913923737461738,0.0,4.478579341047499,0.0,0.024812790153367115,0.29965000724835755,0.0,0.3869007818144977,2.675946931423057,0.3010370564835162,1.9206426850864524,0.31820936066378885,1.403520511955115,0.07040760309434929
A,0.03918029053114303,0.24697137095769647,0.03986759521557361,9.193872426524464,4.57264009953807,1.01147500964827,0.27816269218004824,8.116944713070442,0.10426539324953558,0.20030134941714248,0.018275067614889638,1.1673856859504739,6.575571937477225,0.8099340383238659,2.4825312322205404,0.3105287631701259,1.5662942934362456,0.04618286371568829
APD,0.08921880270416023,1.2396430094480702,0.14536535314591778,10.640870647995254,17.100902645355823,4.301723326843204,5.520193547526853,15.760321144500853,0.07086071360854347,0.17505894149474607,0.33152260348883755,2.1120410525253543,8.6361034772119,0.6602049280777863,1.8933333085984279,1.0569796039827826,1.1483909056458004,0.20736359779054842
AKAM,0.015625675356050195,0.16166291572223118,0.03374757681274142,2.912138034650704,3.222461250146259,1.2190950008751755,5.910344603307571,1.7359105752900097,0.11899706192503498,0.21336289174981363,0.0,0.6604875101180475,1.42215550051959,0.4457685012894201,4.002074220704621,3.897580122315279,1.410108522188822,0.12638190072305713
ALK,0.028077389023875705,0.18603502993180815,0.05435668192651323,3.175334832761468,4.159554999670173,0.9452721255315912,0.4031515074689208,4.196369765286837,0.2988438974262914,0.9845832482728495,0.10579682018709825,0.5056101540494842,0.3468747555792077,0.27671730548711354,1.858280768402432,0.23666671099474487,1.4680757225980843,0.1273224152449518
ALB,0.09194586498467977,0.7226830899510612,0.09980571682031729,11.651570463600912,20.95290968539983,6.579962584545274,7.736271247041256,13.172537513020668,0.07059826652110442,0.27089261434083106,0.07086375250790433,1.1112616853632724,3.3955225230310098,0.513155141980387,2.1419047339224666,1.4317843909262646,1.4242301781068996,0.0896647794108273
ARE,0.0809862280242217,0.15728674606446905,0.06647059354393577,2.718715218598165,4.229466568127758,0.0,3.596831513801062,0.0,0.7556484945072633,0.06493325579899013,0.0,0.6247286497577353,1.8380205137586312,1.0292884171218983,1.5747075765935334,0.42157263301791265,1.437652836813897,0.1643288950030148
ALXN,0.10514181838288511,0.3089536693912015,0.06889877825943364,3.6460381757524605,1.3356743384890104,0.23634687379378183,0.034167382709977025,1.4973004810518293,0.07974583923261182,0.0800226954231082,0.01997689409602245,0.9575988335146784,3.9857583417944107,0.7106025053218823,2.7135740249628126,0.27584162029252873,1.4365051605817016,0.026088415084824186
ALGN,0.062274888128183915,0.5005534819360312,0.06731621446534018,10.304842276309016,14.472313862180155,3.960770358932761,1.2838896514784308,33.42060643113294,0.08200715064603659,0.5277254648323791,0.10158268805154351,0.7673357178330249,3.1535957136756783,0.4638757943169554,0.0,0.0,0.0,0.09448509577482458
ALLE,0.07401456438917887,0.5683504378476222,0.09613433635594451,7.5129318199958055,12.5231087127881,7.695999312886546,2.3116326780192193,12.1898137885711,0.11237405942865634,0.19947112056914143,0.007867077461900497,1.0973698543579615,5.423138495582995,0.8155638542280826,4.957665506153037,0.9367899025891507,2.8172137526906402,0.06323383664125193
AGN,0.01648264905155654,0.16779527225718013,0.1710481551025416,-16.69339489284784,-22.95450786503994,-22.52352103433822,-0.31474189014014126,-2.944452142164123,0.08712653053131979,0.03943726100078321,0.04066406673267939,0.37700528604512457,0.5267104847497052,0.27876914100556677,2.756010456282822,0.28813978913094956,1.483489305495078,0.22825078809275684
ADS,0.004700199092473373,0.04628834487607094,0.021586936572613638,4.975393800372462,3.6239391705841553,0.6510971802426967,26.10665584134788,24.531402941665537,0.10117391341434605,0.09697118377269257,0.1720091617451464,0.6748867697690117,0.552218421933024,0.4581154798351633,6.1663040670429625,45.72900253551375,3.656632614319579,1.0523150188917836
LNT,0.22035955515902458,0.48114389222398873,0.09372852123104426,4.974535774923378,10.579748439657363,28.526001122556355,13.297526911001428,31.912521642472967,0.12729467167330674,0.3293827327934806,0.03276279479626891,1.0663385990063445,0.9976275179861116,0.9474618604329053,2.4435581071150523,0.7443231815226795,1.5331585563197458,0.038413122456827375
ALL,0.015248482602220021,0.08108279082071305,0.04745807227694582,0.964487783842684,1.228106320758215,0.0,3.8022958742869135,0.0,0.006381041367309058,0.0,0.0,0.33728655791913953,0.14806552076221413,0.39123965521540854,2.680508601759005,0.3910758159680427,1.5869674517581542,0.13405789265751822
GOOG,0.21956943432896725,0.7761155108335251,0.12452839418017775,8.654189870284727,12.708774614259257,1.5058144287776414,5.004554750726619,9.626047977592519,0.12301844498229085,0.30131159839178207,0.13041718475389089,1.4407458274590763,1.3122970233126594,1.1297772855250356,0.21527009636840028,0.018143419460758314,0.12447247556540984,0.0
MO,0.052165253503412286,0.665378269062209,0.09578701130418583,25.42417931031096,40.01130670760809,-9.73342668473814,0.03073198816756364,10.851854024895024,0.2829231553844034,1.6202636407141546,0.08740246165833786,0.24285500159519446,1.638790857053623,0.18791069758158263,2.8470369456354505,0.00590106002610831,1.7266335022297867,0.15736302886983236
AMZN,0.1469383968802825,1.1081752279480088,0.1793903942803176,4.751435975305742,7.342388028377843,9.36371535585648,11.851220610070744,8.50626285363548,0.002314946937285573,0.09599920479730915,0.017529573335268743,0.9307521629232047,2.773355673673979,0.3650760553230737,1.4702408386004644,0.8057467411694276,1.1694169890332424,0.31484138924267446
AMCR,0.10464372955608872,0.4170483044140952,0.049636155763861864,3.7786530490073353,4.637546859805997,3.3700472086775015,3.0681075731544176,6.972639229266055,0.07503542340628719,0.0,0.07753599776224122,0.5884623272233233,0.9582776833022982,0.34848368730106805,3.38666662242254,3.2757035234795384,2.3026116516121453,0.011928128460890053
AEE,0.0856644693945663,0.4321304396707313,0.08166730261028661,4.970549648604627,9.275156053620144,23.83505871573598,12.468620492493,34.851832846384944,0.11270204093977168,0.31770222109133406,0.025193976424090724,1.4989245593744942,0.467307411625693,1.1318006742828222,2.105531511970406,0.6799514575227625,1.4724584710883528,0.1513517835553269
AAL,0.018719750012573654,0.06802911106659357,0.055391835557877696,2.562244140386826,2.4936211588192947,0.5085247728085008,-28.91271111504578,2.938212223450389,0.329311588650228,0.3799069249348757,0.02315712015428572,0.3396810708069665,0.23040970830900795,0.21745330266450275,5.416690750449642,-84.9902364764524,4.106994635509563,0.1007138121559044
AEP,0.0823106823787104,0.3882179346682653,0.09096565301815684,4.017618894574227,8.504396495603809,24.0886231701587,11.803160410028484,27.923456437163843,0.12730667465972131,0.371332511229526,0.034778007026174854,1.3810569171759484,4.029723865493409,0.9434975848662406,2.328134391699807,0.7621818846127545,1.548970848405612,0.18024069623434594
AXP,0.025281517256689923,0.24973681067554823,0.08018400995952693,2.7414652182947266,4.062990316217264,0.0,11.16946895899798,0.0,0.0006156003742167947,0.03428572955464841,0.0,1.1424746311781078,2.4304355925225094,0.9905886849844721,15.206641841631084,3.5659344554126013,4.820654453257035,0.0939915282933062
AIG,1.5846269810006133,0.08345356632176637,0.05066303314986778,0.38383019163614895,-0.0027490913575838236,0.0,-0.0035972524827690756,0.0,0.004265668555130147,0.0,0.0,0.21845059153312585,0.22687161010371712,0.33714961564833784,3.272551371190994,0.7917121242987001,2.6984350097847787,0.0006117621183561944
AMT,0.06929546121384136,0.15780740130281545,0.08178532238959,1.7636035079924135,2.4597465124583104,136.46759075399004,16.11964916339857,371.40604564483084,0.0873522075126006,0.7427791865609165,0.0,0.5014692681368897,1.1307544731343033,0.3577704648443949,2.6654015225678767,2.240289626064367,2.6891544014296964,0.26415865224599483
AWK,0.13797188149577627,0.8129784434294919,0.10090714943713897,8.8585634191672,11.800704002294891,22.31367198919964,11.289471925319035,45.244397460216604,0.1063089503007019,0.8841396880837331,0.16884475993455195,1.4543919050770746,4.872109490597933,0.7393373931829993,2.5729341397782943,0.8432638420506517,1.6156946411930515,0.1309345032835639
AMP,0.015527678608991824,0.12854367453557922,0.033229509922589405,3.309963437733814,3.54914640164344,0.0,13.50408582031511,0.0,0.0020515547441648293,0.08029887473081612,0.0,2.6050160030899283,8.811701956073655,1.4145496003900921,1.636275685595497,1.1123762059745117,3.2518153640819634,0.16790302369735688
ABC,0.015088662893638805,0.005611783750852986,0.010589450347254845,0.2774640559653735,0.33867766389947096,29.822270937846667,1.194250518015785,7.973662370386058,0.24116146245422573,0.08251373254201844,0.03525656665863327,0.24093601592696756,0.39087710837928935,0.23440269946621925,1.3520718534458498,1.23044755916713,3.3781606156490667,0.15211036644130357
AME,0.075929470494144,0.6644722932733422,0.09172138072654074,8.570665333851291,12.627750781164933,8.3638942896135,0.6346608280669535,6.833226888896161,0.0884309589577185,0.18261161253296934,0.006229029784746062,0.8017289312242479,2.7332228248384993,0.665124462447609,2.9306254567592065,0.2619499925866572,1.5650051649615286,0.05264475226776099
AMGN,0.022645057682209424,0.3069557568516308,0.025096871945795143,20.379679182898613,25.13479255951509,3.232687572364239,2.6992232340881848,16.38433588595949,0.11086950469620183,0.24306831334039689,0.018553179218764624,1.1024786655886019,1.7644609395476707,0.687433363629112,6.022436878164644,2.1398025434695933,4.0503314735344915,0.23306641847931728
APH,0.03475068346412582,0.13130397267094748,0.032839014263485504,4.187038990888165,4.307062250643406,3.672809058816446,18.96367252398151,3.5044861345236487,0.09983274109066605,0.06757752296715011,0.037295907955359524,0.4240707141168119,0.8753900364660687,0.3970192239277787,4.979829840603755,7.086436839284213,2.020768836725205,0.07746988644527886
ADI,0.020819556904758892,0.22839347828206394,0.03273092607600542,6.244114346152025,7.070056254536608,6.165789847122984,8.38826447977449,1.4722574906021455,0.19259440902248387,0.1721506080651673,0.0580177489982206,0.46680159838406377,1.2898205716231697,0.4274609124112491,4.3396660608130615,4.480343687341352,1.544994679092614,0.13826598513877353
ANSS,0.03888988696468854,0.40729596817523633,0.05341985191783355,7.705054519978104,9.503953719285601,4.5156739920058,10.006497868487578,3.539484331606108,0.057882934147992206,1.5924990791202114,0.0,0.8423364615834186,2.460189681890022,0.5319844721691791,0.0,0.0,0.0,0.12147895571442029
ANTM,0.03660141613899524,0.043337073468629084,0.02529760061748417,2.7965479758980254,2.89509722152973,2.7835164994196577,0.5281875397754094,8.862012895029249,0.16512347374468192,0.08708146593641294,0.0,0.6472890420096727,0.6137485866642565,0.38524860070000083,3.163871712858467,0.5306344516116064,2.2298068391910317,0.2017968706166559
AON,0.057570937459918155,0.3687293226662141,0.08784223222335943,1.8059630973363976,2.286186491307903,13.292374749988863,9.827693782925115,84.26394287689115,0.003934618307260997,0.06877014672933082,0.0,0.2640293506491532,0.4110866160531321,0.5882058588274073,11.015724914707006,1.9433638664655757,4.265762686588293,0.061951050453861456
AOS,0.07229418984788957,0.4664502061204627,0.07684305026714651,6.894429161084534,10.960480894667775,3.878413817496412,0.8952385835382816,15.632795804255274,0.06572911585769795,0.09053645973221372,0.007935828731451877,1.5280011842025014,3.2141224176635044,0.9509593068305088,0.6952882376845633,0.054407595946535776,0.46676267401034327,0.03468072841182759
APA,0.12278852445326796,0.4145401696467655,0.09799569888199611,4.729913831799474,0.4432464604092283,0.4414950408997131,0.5486165419426041,14.896227254560507,0.06965771910435313,0.3629378688143702,0.026135509184195,0.682978896612785,1.511613652510904,0.5057936190925394,6.208474478273812,3.652585803322036,4.928196762719995,0.14439535470432616
AIV,0.062282417602882716,0.11476319832936234,0.03186243627386451,5.903243434854147,10.141050440600011,0.0,27.271913992456795,0.0,0.0,0.0,0.0,0.3880896108630726,1.1829128145518006,0.5531501703526572,2.7377540755985805,1.3549418999823906,2.3466066764050746,0.08124741283236046
AAPL,0.023102343315320246,0.17161493192735994,0.004102952580706236,5.170458305205762,6.226291036430134,5.340275329676423,38.59739481047704,6.278676556593301,0.11325684437968458,0.03364257107347266,0.34348348733414524,0.466731619351703,0.7675358854304578,0.3278335682835277,4.471340886415524,9.518737300152267,2.3369480414543995,0.31512011873944884
AMAT,0.01279393052607542,0.07821773020085904,0.016869262157399652,5.8450621014525375,5.629511113140617,3.7403843622357438,30.594725005356842,7.223627877819717,0.15275127429900587,0.04164414893283871,0.02760978568865055,0.5460872793875128,1.457092955793345,0.5756246549601681,4.217796807329932,6.183193174202762,1.8757152819346066,0.07839679050593648
APTV,0.061250353988131355,0.3949159096774924,0.06152571928468156,8.809513471982937,12.547909454173926,15.950165476914712,15.80675122441342,6.427599303054251,0.0008690413287006959,0.07698090435489097,0.015294819982716456,0.9087957643981477,0.9185699626886964,0.4299119667875541,2.5112406080315095,1.329572109098258,1.5064023152378574,0.030727955047317332
ADM,-0.022645253399209184,0.06491938837256318,0.09024906262487307,2.4239625246421515,4.100103869262929,2.0173446629665603,0.006219491340770471,4.433706422032893,0.04876195583768159,0.1917103879741754,0.05616245764715735,2.5903620997395076,4.418410750415982,1.6180684698157954,1.2638456637854367,0.0014967021466483427,0.8326465411693064,-0.29890729572343677
