Ticker,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
MMM,17.2308,3.3862,14.94950172,0.213215321,0.163253472,0.3518,0.546,0.1657,6.5985,3.7735,7.8012,1.139287686,0.393843181,1.892,0.4006,1.4927,0.598820542,10.9414
ABT,20.1644,4.1545,21.28888127,0.122081235,0.077441298,0.1796,0.0771,0.042,5.8629,2.8882,8.2677,1.028406569,0.426542388,1.624,0.2913,0.6369,0.389078906,3.5836
ABBV,10.328,4.2339,22.30422937,0.193600586,0.17363295,2.1966,-0.6733,0.1014,6.2553,0.7497,20.4069,0.779917629,0.422820349,0.983,0.6792,-4.7727,1.265064022,8.7132
ABMD,49.6558,16.2757,45.39229843,0.34227846,0.336632737,0.3617,0.2765,0.3077,9.5689,7.4289,11.734,5.495452744,1.141729089,6.389,0,0,0,5.6155
ACN,19.8687,3.0468,0.865177706,0.143645242,0.11058916,0.8269,0.3317,0.3234,5.5434,7.3816,0,1.285967342,0.55387006,1.397,0.0008,0.0016,0.00157002,10.3855
ATVI,19.8521,4.738,17.13453879,0.259733333,0.241733333,0.484,0.1591,0.1127,7.6805,8.2674,168.5393,1.990915973,1.599167298,2.311,0.1493,0.2345,0.189931025,2.3491
ADBE,30.3943,13.5623,39.8949647,0.319281888,0.286907166,1.5885,0.2767,0.158,7.1284,16.442,0,1.056593087,0.381940683,1.129,0.2198,0.4406,0.305837199,8.2136
AMD,542.6193,2.8493,32.82668821,0.069343629,0.052046332,0.177,0.2662,0.1816,7.6673,1.5449,8.4146,1.205141129,0.543346774,1.784,0.2744,0.9874,0.49682035,0.0346
AAP,14.1522,1.198,15.93722048,0.063863948,0.044240344,0.1189,0.1194,0.0887,15.5613,0.6939,2.246,0.391538491,0.230709865,1.565,0.1157,0.2945,0.227501902,11.0003
AES,4.0874,0.892,7.20234612,0.276359911,0.112052906,0.0547,0.375,0.0518,7.0216,1.9422,18.8516,0.782905206,0.349170266,1.14,0.5933,6.0147,0.85744123,3.5377
AMG,4.4998,2.1579,14.27924474,0.212537841,0.102421796,0.2816,0.0705,0.0656,5.7009,0.7266,0,1.911588588,0.995949278,2.428,0.2226,0.5292,0.339611109,21.2799
AFL,5.7672,1.5941,10.65514191,0.193262248,0.134203511,0,0.1245,0,25.9333,6.1834,0,0.395438389,0.3211641,0.553243483,0.0412,0.2463,0.19763346,7.8146
A,19.0001,4.2029,20.10556807,0.207773708,0.064306064,0.0903,0.0692,0.1133,6.552,4.0124,8.1022,2.581554227,1.918872758,3.286,0.2106,0.3939,0.282595036,3.3863
APD,14.5423,4.1602,13.709719,0.241047233,0.167723007,0.1182,0.138,0.0877,5.508,1.2659,24.4161,1.948637899,1.193730488,2.173,0.1988,0.3511,0.259889162,11.6493
AKAM,9.8657,3.6647,14.77800853,0.142307865,0.10991927,0.1335,0.0935,0.0744,5.7672,7.9542,0,1.959177639,0.856072764,2.094,0.2857,0.4889,0.328381826,6.0266
ALK,6.2785,0.9079,8.509567332,0.081800581,0.052879961,0.0777,0.1165,0.0557,23.3777,16.381,141.265,0.544527532,0.035690007,0.607,0.1927,0.5607,0.359241544,9.6973
ALB,14.9868,2.4253,9.412891742,0.263942577,0.205502896,0.1808,0.1934,0.0733,5.4876,1.9589,5.219,1.025286243,0.4693481,1.689,0.2249,0.4756,0.322313583,5.0372
ARE,21.7263,9.3347,17.79198451,0.404386877,0.285742912,0,0.0517,0,132.3489,0.3901,0,0.468551656,0.452267821,1.464368515,0.3787,0.7462,0.426944657,5.3042
ALXN,50.9875,5.2577,34.74624112,0.082397366,0.018783888,0.0211,0.0085,0.0209,5.0112,1.603,8.8567,2.117632027,1.163117547,2.883,0.2302,0.3499,0.259178131,1.9129
ALGN,30.1996,8.5183,33.94814071,0.232880683,0.203527398,0.3536,0.3194,0.4665,5.1533,10.5713,45.0364,1.696884577,0.920277196,1.882,0,0,0,6.928
ALLE,16.5507,2.7737,15.04988125,0.193542483,0.159204891,0.6326,0.668,0.1618,8.7907,3.3187,10.5045,1.181835637,0.557987711,1.789,0.5141,2.2194,0.689378758,4.8161
AGN,7.9931,2.8555,86.26104251,-0.377256546,-0.322814396,-2.0108,-0.0783,-0.0411,5.475,0.79,18.0283,0.833708689,0.153703801,1.131,0.2338,0.3655,0.267655137,16.7362
ADS,2.9676,1.0493,9.452884116,0.243133279,0.123613821,0.0713,0.413,1.0514,4.9034,3.6151,32.3219,2.001889586,0.33241031,2.152,0.4402,5.7361,0.851545591,50.1803
LNT,18.8901,2.8203,11.31613614,0.231150092,0.147771962,0.045,0.1139,0.0304,8.4842,1.7117,16.2805,0.225837844,0.012712122,0.478,0.3853,1.2962,0.564498514,2.259
ALL,5.4998,0.7148,9.777097753,0.077257315,0.056561597,0,0.1057,0,6.6692,0,0,0.344729345,0.017770655,0.719017094,0.0575,0.3027,0.223465112,14.8792
GOOG,20.1038,6.7265,22.29249952,0.245302422,0.215770117,0.1912,0.173,0.1848,6.9852,10.4527,147.4343,3.754419411,0.482409012,3.919,0.0172,0.0226,0.022087646,0
MO,11.0602,3.659,10.23883065,0.394338432,0.274522946,-0.4656,0.4709,0.1214,178.6197,15.8189,11.1343,0.069598452,0.062898127,0.203,0.4627,1.7411,0.635186145,4.4656
AMZN,23.9044,3.1535,28.4128154,0.054477064,0.043252736,0.147,0.2313,0.1465,15.6085,1.9883,14.0205,0.846997412,0.464242371,1.098,0.2038,0.7611,0.432172008,63.0862
AMCR,17.0565,1.3996,4.681292571,0.085597682,0.045484342,0.0926,0.0767,0.0388,5.8325,0,5.7104,0.542934519,0.132458497,1.147,0.3556,1.0881,0.521097659,0.6701
AEE,7.3435,2.533,9.85994767,0.23096487,0.129550151,0.0376,0.1068,0.0332,7.5116,1.651,12.5194,0.31745441,0.005954596,0.571,0.332,1.1841,0.542149157,8.9007
AAL,4.186,0.332,8.671621181,0.066006601,0.031701129,0.0418,-8.355,0.039,25.7611,6.3207,30.9205,0.365826702,0.023706897,0.477,0.5617,-201.355,1.00499114,7.6707
AEP,7.056,2.2756,10.98256646,0.186685355,0.118784616,0.038,0.1011,0.0266,8.485,1.9297,17.2819,0.292491444,0.051348164,0.476,0.3671,1.3273,0.570320492,10.5996
AXP,9.1185,2.2016,16.51914766,0.219596604,0.187124858,0,0.3105,0,0.6434,0.7075,0,1.167685228,0.291698109,1.820495924,0.3262,2.7601,0.678809188,10.4322
AIG,571.5409,0.7357,10.43736932,0.030745532,-0.000126612,0,-0.0001,0,4.4583,0,0,0.223271066,0.027228872,0.619610854,0.0702,0.6128,0.379973818,0.0679
AMT,18.59,9.3656,21.89123207,0.262321743,0.166180562,0.1383,0.2317,0.0422,15.2994,4.4624,0,0.3761061,0.27823621,0.509,0.641,3.9654,0.798607337,8.5265
AWK,11.8275,4.7654,12.18283427,0.411627907,0.164825581,0.0352,0.0967,0.0431,7.0855,4.5946,83.9024,0.308022923,0.062082139,0.373,0.4057,1.4685,0.594887737,7.7
AMP,5.6005,1.1332,6.845793586,0.265134398,0.163459291,0,0.3754,0,2.1442,1.657,0,2.6625,1.057570423,2.599647887,0.0351,0.861,0.457896779,18.6357
ABC,7.3171,0.0955,5.340350067,0.006270452,0.0047629,2.6624,0.2971,0.1113,15.1545,1.6529,15.6309,0.532805394,0.114065125,0.951,0.1147,1.5608,0.609496839,11.1533
AME,16.9789,3.2428,14.35903071,0.220791016,0.160535194,0.6875,0.1834,0.0907,6.9177,3.0382,8.3173,0.863438902,0.281221796,1.459,0.3039,0.6206,0.382960404,4.0096
AMGN,10.9815,5.2237,12.65656643,0.46056344,0.353476229,0.2886,0.6715,0.2287,6.967,4.8691,8.2255,2.43801898,0.514902135,2.789,0.5109,2.7143,0.730771716,17.0893
APH,21.9408,2.9765,14.38015048,0.204608632,0.146915386,0.4022,0.3,0.1502,4.8384,2.5193,7.0082,1.257903969,0.526944886,1.865,0.3555,0.8889,0.470590561,3.6942
ADI,13.145,5.1774,14.33281884,0.305132027,0.241162069,0.6752,0.1327,0.0631,9.3341,6.4178,10.902,1.384654879,0.776413171,2.008,0.3098,0.562,0.359793708,6.5933
ANSS,24.5542,9.2329,23.39246553,0.376523999,0.324183155,0.4945,0.1583,0.1517,2.8053,59.3686,0,2.498588898,1.480922009,2.499,0,0,0,5.7928
