,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio,ClusterID
MMM,1.1522742372002523,1.5328193053734136,1.1948116462980123,1.3284186928766966,1.4479057702910658,1.2270542145835968,1.0156961916110843,1.4382413988301144,0.7460475806030074,0.9251249002024198,0.21349142330391838,1.0978205988520662,1.2278246869133604,1.2774530471576224,1.2440153918855057,-0.9697858485271903,1.2105358101168051,1.2537181522752305,5
ABT,0.9156746404701428,1.0070882782124357,0.9479920292202595,0.8120875556418937,0.6530255440606271,0.6010907375097387,-0.1545790989048552,0.3554926528743289,0.7395978417386698,0.6453080611770982,0.3926564411756576,0.691562440024164,0.7895976989884548,0.8062636325161963,1.0001350826536988,-0.5654955285404877,0.9159928938046014,0.41850171517096385,1
ABBV,0.46899921082579366,1.0263355544887791,0.9932053917016566,1.2878361416935065,1.464163883727797,7.351647628139711,1.3499106004233334,0.8582608333680226,0.7890986336843373,0.1675048311974484,0.9691813599220495,0.52446352910169,0.7827076137058983,0.48802780219422465,2.331931850801209,4.237620519807169,2.9782895872537174,1.017549152982376,5
ABMD,2.2548926232497526,3.9453765049228893,2.0213150965460427,2.2768452328506648,2.838663373488949,1.2105485509870406,-0.554359544062159,2.604406887843595,1.2071053212255296,1.6598327870918026,0.5572808254720379,3.69547299991831,2.113521860675157,3.1719324803854536,0.0,-0.0,0.0,0.6557920475339177,5
ACN,0.7907239592581612,0.6399262663246024,0.04134458726076499,0.6498045859856284,0.5987830435658591,2.4987979113431833,2.637218220933495,1.5621301775147929,0.7962727078002158,1.2089593507370584,0.0,0.7466642132533285,0.7138814418949231,0.6445591175995262,0.0029941767665092535,0.004517597036987825,0.003253433219119562,1.5039509340943094,1
ATVI,2.0746904991907495,1.6093987682946642,1.2806404934336137,1.542730196024201,1.8552085212993543,1.3582732408458094,0.8557163903374413,0.8133864691853897,1.0192604841864505,1.403662288731147,5.0126724898644905,1.233318434228807,2.6375595016265065,1.2408198519971054,0.528186670358236,0.21011071375702187,0.4508767686489276,0.4078311601617172,5
ADBE,1.2096161920447905,2.8485204154437946,1.9064763664914512,1.444327930085911,1.553453756935446,4.800266637040328,2.199934524366289,0.763192851104939,1.0239474637015293,2.6928727707839375,0.0,0.6134838889507046,0.49228218889169,0.5209071179455013,0.8226500665984173,1.2440332840605222,0.6337632022962,1.1894325157457049,5
AMD,21.594874413821334,0.5984448964942527,1.5687018583211971,0.31368813547674634,0.2818039406520419,0.5348739028996776,2.1164530913852766,0.8771887453206134,1.101356880707976,0.2530239109344426,0.6138479708378852,0.6997345294512255,0.7003180104591226,0.8231162962044059,1.0270026309126739,2.7879220714511117,1.029523082906337,0.005010514883218247,5
AAP,1.109564829979043,0.7101737561091277,1.2663537424801752,0.5964325772491056,0.5764084902392873,0.9489586500456064,0.8546691965959573,0.6758871767580252,0.18951160570759848,0.15247187782076305,0.07941703591900896,0.4104407269128084,0.5638928166963815,0.9024119681665432,0.31076028428057995,0.30301471344788566,0.3742324254372662,0.7771113556533068,1
AES,0.441464672511604,0.3684297481649319,0.6554820284278673,1.2820480075772527,0.9481232029532501,1.3772142792914306,4.051863857374393,1.6783152048137007,0.860073861304883,0.8519822339200526,0.8456775813046457,1.7012117998697518,3.093231595870865,1.6049879324215606,1.494122408598282,4.55783642174945,1.4130791770327937,0.4613204335468344,1
